City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
184,coquimbo,-29.9533,-71.3436,19.85,63,0,7.72,CL,1699465701
185,antofagasta,-23.65,-70.4,19.6,72,49,3.5,CL,1699465701
186,nagqu,31.5,92.0,-8.05,60,68,1.67,CN,1699465701
187,santana,-0.0583,-51.1817,36.1,41,40,5.14,BR,1699465707
188,oamaru,-45.0784,170.9801,5.77,90,46,2.27,NZ,1699465707
189,wotho,10.1657,166.0102,27.94,75,99,10.18,MH,1699465707
190,zastron,-30.3023,27.084,19.31,28,8,1.88,ZA,1699465707
191,khanu woralaksaburi,16.0617,99.8606,23.56,95,53,1.53,TH,1699465707
192,colonia,50.9333,6.95,10.88,80,20,6.17,DE,1699465553
193,portland,45.5234,-122.6762,9.96,96,100,3.09,US,1699465282
194,noumea,-22.2763,166.4572,18.99,69,37,6.42,NC,1699465708
195,lata,40.1629,-8.3327,14.49,92,100,5.57,PT,1699465708
196,lihue,21.9789,-159.3672,24.77,86,75,4.63,US,1699465708
197,palikir - national government center,6.9248,158.1611,27.94,79,100,7.32,FM,1699465708
198,port blair,11.6667,92.75,26.02,94,20,1.03,IN,1699465708
199,mount isa,-20.7333,139.5,26.87,61,89,3.6,AU,1699465708
200,kuraymah,18.55,31.85,30.43,29,0,2.61,SD,1699465709
201,viedma,-40.8135,-62.9967,19.74,24,2,9.67,AR,1699465709
202,hithadhoo,-0.6,73.0833,27.15,82,65,5.74,MV,1699465709
203,nadym,65.5333,72.5167,-0.15,87,100,7.1,RU,1699465709
204,lompoc,34.6391,-120.4579,22.1,57,0,5.36,US,1699465618
205,al kharijah,25.4514,30.5464,26.49,29,0,4.58,EG,1699465709
206,point pedro,9.8167,80.2333,28.59,77,91,5.19,LK,1699465709
207,ambalangoda,6.2355,80.0538,26.23,84,100,1.9,LK,1699465709
208,morondava,-20.2833,44.2833,26.56,84,5,4.62,MG,1699465710
209,la ronge,55.1001,-105.2842,0.14,93,100,0.51,CA,1699465462
210,xiongzhou,25.1167,114.3,22.15,84,93,0.1,CN,1699465710
211,bom jesus,-9.0744,-44.3586,36.69,28,54,1.82,BR,1699465710
212,nemuro,43.3236,145.575,9.02,57,74,2.19,JP,1699465710
213,tazovsky,67.4667,78.7,-1.03,94,100,8.87,RU,1699465710
214,vanimo,-2.6741,141.3028,27.31,81,82,8.73,PG,1699465711
215,baoro,5.6667,15.9667,24.0,76,69,2.21,CF,1699465711
216,callao,-12.0667,-77.15,21.16,73,100,3.09,PE,1699465711
217,sept-iles,50.2001,-66.3821,-1.0,74,100,9.26,CA,1699465711
218,curup,-3.4667,102.5333,20.91,95,99,0.48,ID,1699465711
219,paraty,-23.2178,-44.7131,29.57,52,0,2.26,BR,1699465712
220,tarko-sale,64.9225,77.785,-1.44,94,100,9.11,RU,1699465712
221,santa cecilia,-26.9608,-50.4269,28.66,33,62,0.42,BR,1699465493
222,itamaraca,-7.7478,-34.8256,29.03,63,8,5.81,BR,1699465712
223,zeya,53.75,127.2667,-9.05,89,100,1.52,RU,1699465712
224,aykhal,66.0,111.5,-20.37,90,6,3.49,RU,1699465712
225,isafjordur,66.0755,-23.124,5.02,70,75,11.32,IS,1699465712
226,champerico,14.3,-91.9167,33.3,75,85,2.14,GT,1699465713
227,lautoka,-17.6167,177.4667,24.92,83,75,2.57,FJ,1699465713
228,laiwu,36.1928,117.6569,11.11,61,17,0.89,CN,1699465713
229,kazerun,29.6195,51.6541,19.97,41,0,1.15,IR,1699465713
230,opuwo,-18.0607,13.84,27.11,22,0,6.04,NA,1699465713
231,aioun,16.6614,-9.6149,30.35,14,25,4.08,MR,1699465713
232,mossel bay,-34.1831,22.146,15.96,67,5,1.65,ZA,1699465714
233,nizhnesortymskiy,62.4397,71.7603,-2.18,86,100,4.58,RU,1699465714
234,choibalsan,48.0667,114.5,-10.67,82,100,6.34,MN,1699465714
235,constantia,44.1833,28.65,13.38,83,94,7.19,RO,1699465463
236,longyearbyen,78.2186,15.6401,-3.09,68,75,5.14,SJ,1699465714
237,pangody,65.85,74.4859,0.06,88,100,8.11,RU,1699465714
238,kahama,-3.8333,32.6,22.79,69,83,2.5,TZ,1699465715
239,chillicothe,39.3331,-82.9824,22.18,52,0,4.12,US,1699465445
240,mil'kovo,55.6078,37.7956,7.41,89,82,2.65,RU,1699465715
241,galesong,-5.3166,119.3661,26.01,77,50,2.52,ID,1699465715
242,menaka,15.9182,2.4022,32.2,9,78,3.81,ML,1699465715
243,kwang binh,17.4833,106.6,24.77,91,60,1.94,VN,1699465715
244,karystos,38.0133,24.4161,19.55,81,50,4.35,GR,1699465716
245,khandyga,62.6667,135.6,-34.54,100,20,1.09,RU,1699465716
246,timbuktu,16.7735,-3.0074,32.53,14,28,3.76,ML,1699465716
247,labytnangi,66.6572,66.4183,0.51,99,100,1.94,RU,1699465716
248,saint john,45.2727,-66.0677,3.0,69,75,11.32,CA,1699465512
249,urengoy,65.9667,78.3667,-1.54,94,100,8.34,RU,1699465717
250,castro marim,37.2207,-7.4435,16.83,51,91,0.75,PT,1699465717
251,ajaccio,42.0,8.9167,11.03,71,0,2.57,FR,1699465717
252,oral,51.2333,51.3667,6.99,93,75,4.0,KZ,1699465717
253,ataq,14.5377,46.8319,23.62,38,41,2.68,YE,1699465717
254,hobyo,5.3505,48.5268,27.56,79,100,5.65,SO,1699465717
255,khorixas,-20.3667,14.9667,26.82,25,0,7.62,NA,1699465718
256,gamay,12.3854,125.2979,25.83,90,73,2.55,PH,1699465718
257,hakha,22.65,93.6167,9.69,76,6,0.63,MM,1699465718
258,saint-joseph,-21.3667,55.6167,23.21,85,77,0.8,RE,1699465718
259,colares,38.7992,-9.4469,18.75,84,75,8.05,PT,1699465718
260,beyneu,45.3167,55.2,9.0,83,8,4.97,KZ,1699465718
261,tromso,69.6496,18.957,-0.99,86,0,1.54,NO,1699465718
262,bereket,39.2446,55.5154,15.51,46,4,2.03,TM,1699465719
263,el calafate,-50.3408,-72.2768,9.72,46,84,6.75,AR,1699465719
264,ingeniero jacobacci,-41.3427,-69.5448,15.76,22,2,3.67,AR,1699465719
265,fauske,67.2588,15.3918,3.02,78,64,3.56,NO,1699465719
266,sisimiut,66.9395,-53.6735,-3.78,81,100,3.18,GL,1699465719
267,patacamaya,-17.2333,-67.9167,18.67,31,97,7.16,BO,1699465719
268,naliya,23.2667,68.8333,27.35,60,18,2.76,IN,1699465720
269,benguela,-12.5763,13.4055,25.45,69,11,3.54,AO,1699465720
270,devrekani,41.603,33.8392,12.09,58,87,1.99,TR,1699465720
271,baley,51.6,116.6333,-13.83,96,100,1.92,RU,1699465720
272,shimoda,34.6667,138.95,14.5,81,38,2.02,JP,1699465720
273,shkoder,42.0683,19.5126,13.1,93,88,1.05,AL,1699465720
274,revda,56.801,59.9303,0.55,93,100,0.76,RU,1699465720
275,camocim,-2.9022,-40.8411,31.56,57,89,7.63,BR,1699465721
276,upington,-28.4478,21.2561,29.21,14,0,4.12,ZA,1699465721
277,naze,28.3667,129.4833,21.51,68,90,4.1,JP,1699465721
278,santa elena de uairen,4.6167,-61.1333,29.02,47,100,1.6,VE,1699465721
279,wuwei,37.9281,102.6414,0.85,42,2,2.03,CN,1699465721
280,ubari,26.5921,12.7805,24.54,16,88,3.41,LY,1699465721
281,bodaybo,57.8506,114.1933,-21.66,97,12,1.4,RU,1699465722
282,camayenne,9.535,-13.6878,30.05,74,40,1.03,GN,1699465722
283,brisas de zicatela,15.8369,-97.0419,31.29,58,20,2.57,MX,1699465722
284,rosarito,32.3333,-117.0333,20.23,55,45,5.32,MX,1699465723
285,al jahra',29.3375,47.6581,26.97,32,0,4.54,KW,1699465723
286,capitan bado,-23.2667,-55.5333,39.7,19,32,2.75,PY,1699465723
287,bonthe,7.5264,-12.505,27.47,79,69,3.38,SL,1699465724
288,keflavik,64.0049,-22.5624,5.95,70,0,6.17,IS,1699465724
289,am timan,11.0297,20.2827,31.96,27,92,2.13,TD,1699465724
290,rongelap,11.1635,166.8941,27.88,78,60,8.71,MH,1699465724
291,kolondieba,11.0882,-6.8926,32.77,29,100,1.65,ML,1699465725
292,rajin,42.2489,130.3003,5.06,90,100,3.38,KP,1699465725
293,dourbali,11.8091,15.8632,32.87,21,100,2.63,TD,1699465725
294,hammerfest,70.6634,23.6821,-0.75,86,100,3.6,NO,1699465725
295,nogliki,51.8333,143.1667,-4.25,83,46,2.68,RU,1699465725
296,egletons,45.4034,2.0507,7.29,97,99,1.5,FR,1699465726
297,hirara,24.8,125.2833,21.15,88,40,2.06,JP,1699465726
298,broken hill,-31.95,141.4333,23.32,33,86,4.82,AU,1699465652
299,bikenibeu village,1.3673,173.1241,26.98,94,75,1.54,KI,1699465726
300,as sulayyil,20.4607,45.5779,26.14,25,0,4.04,SA,1699465726
301,hasaki,35.7333,140.8333,10.22,61,1,4.07,JP,1699465727
302,enewetak,11.3474,162.3373,28.38,69,66,9.64,MH,1699465727
303,lazaro cardenas,17.9583,-102.2,30.08,65,27,2.3,MX,1699465678
304,taco pozo,-25.6167,-63.2833,35.91,31,11,3.22,AR,1699465727
305,sittwe,20.15,92.9,22.98,76,13,5.5,MM,1699465727
306,steinbach,50.1667,8.5667,10.35,81,0,4.12,DE,1699465727
307,klaeng,12.7797,101.6483,28.3,90,41,0.96,TH,1699465727
308,remire-montjoly,4.9167,-52.2667,32.02,62,20,4.63,GF,1699465728
309,cururupu,-1.8283,-44.8683,34.3,40,100,3.45,BR,1699465728
310,boa vista,2.8197,-60.6733,32.99,52,75,3.09,BR,1699465728
311,coari,-4.085,-63.1414,32.33,50,81,1.6,BR,1699465728
312,xilin hot,43.9667,116.0333,-14.39,81,19,5.1,CN,1699465728
313,pyapon,16.2833,95.6833,24.37,90,100,2.84,MM,1699465728
314,montpelier,44.2601,-72.5754,2.72,64,75,7.2,US,1699465728
315,stara vyzhivka,51.4376,24.44,7.14,79,94,3.87,UA,1699465728
316,st. john's,47.5649,-52.7093,7.93,98,100,5.66,CA,1699465449
317,lebu,-37.6167,-73.65,13.89,71,0,7.95,CL,1699465729
318,hopelchen,19.7667,-89.85,31.02,45,100,2.15,MX,1699465729
319,kiruna,67.8557,20.2251,-3.49,100,100,1.03,SE,1699465729
320,kununurra,-15.7667,128.7333,26.99,78,66,3.6,AU,1699465729
321,zheleznogorsk-ilimskiy,56.5768,104.1217,-12.57,97,97,1.34,RU,1699465729
322,kingston,17.997,-76.7936,32.53,66,20,3.09,JM,1699465347
323,amga,60.8953,131.9608,-27.93,100,99,0.52,RU,1699465730
324,wanxian,30.8039,108.3897,18.33,94,95,1.3,CN,1699465730
325,chernogorsk,53.8236,91.2842,-14.24,92,99,0.0,RU,1699465730
326,klyuchi,52.2667,79.1667,0.75,55,80,3.16,RU,1699465730
327,tobelo,1.7284,128.0095,26.47,83,7,0.86,ID,1699465730
328,enriquillo,17.9,-71.2333,31.82,57,30,3.26,DO,1699465730
329,sechura,-5.5569,-80.8222,27.0,55,7,6.36,PE,1699465730
330,calvinia,-31.4707,19.776,17.78,27,0,3.05,ZA,1699465731
331,prades,42.5833,2.1667,2.95,69,2,2.16,FR,1699465731
332,acarau,-2.8856,-40.12,27.51,79,85,10.64,BR,1699465525
333,puerto aysen,-45.4,-72.7,11.22,83,89,2.6,CL,1699465731
334,bamboo flat,11.7,92.7167,26.05,94,20,1.03,IN,1699465731
335,nebbi,2.4783,31.0889,20.49,92,70,1.41,UG,1699465731
336,smara,26.7384,-11.6719,22.7,42,1,8.54,EH,1699465731
337,planeta rica,8.4147,-75.5883,30.95,70,62,2.06,CO,1699465731
338,namanga,-2.5433,36.7905,20.31,84,94,3.4,KE,1699465732
339,hilo,19.7297,-155.09,30.16,73,0,3.6,US,1699465732
340,ulsteinvik,62.3432,5.8487,7.64,78,17,3.58,NO,1699465732
341,magugu,-4.0167,35.7667,23.89,66,70,1.46,TZ,1699465732
342,margate,51.3813,1.3862,12.39,94,100,2.68,GB,1699465732
